name,species,cp,cp_new
Pidgey1,Pidgey,384,694
Pidgey2,Pidgey,366,669
Pidgey3,Pidgey,353,659
Pidgey4,Pidgey,338,640
Pidgey5,Pidgey,242,457
Pidgey6,Pidgey,129,243
Pidgey7,Pidgey,10,15
Pidgey8,Pidgey,25,47
Pidgey9,Pidgey,24,47
Pidgey10,Pidgey,161,305
Pidgey11,Pidgey,114,213
Pidgey12,Pidgey,333,633
Pidgey13,Pidgey,132,247
Pidgey14,Pidgey,60,113
Pidgey15,Pidgey,42,79
Pidgey16,Pidgey,91,173
Pidgey17,Pidgey,139,265
Pidgey18,Pidgey,330,624
Pidgey19,Pidgey,328,619
Pidgey20,Pidgey,176,327
Pidgey21,Pidgey,97,181
Pidgey22,Pidgey,74,141
Pidgey23,Pidgey,127,241
Pidgey24,Pidgey,78,146
Pidgey25,Pidgey,240,448
Pidgey26,Pidgey,276,530
Pidgey27,Pidgey,207,393
Pidgey28,Pidgey,176,335
Pidgey29,Pidgey,316,594
Pidgey30,Pidgey,305,567
Pidgey31,Pidgey,304,579
Pidgey32,Pidgey,242,459
Pidgey33,Pidgey,250,471
Pidgey34,Pidgey,226,428
Pidgey35,Pidgey,220,418
Pidgey36,Pidgey,185,354
Pidgey37,Pidgey,42,80
Pidgey38,Pidgey,344,647
Pidgey39,Pidgey,108,205
Weedle1,Weedle,169,185
Weedle2,Weedle,15,16
Weedle3,Weedle,25,27
Weedle4,Weedle,222,245
Weedle5,Weedle,251,272
Weedle6,Weedle,139,151
Weedle7,Weedle,45,49
Weedle8,Weedle,129,140
Weedle9,Weedle,200,217
Weedle10,Weedle,179,193
Weedle11,Weedle,104,113
Weedle12,Weedle,144,157
Weedle13,Weedle,157,172
Weedle14,Weedle,106,115
Weedle15,Weedle,203,219
Weedle16,Weedle,16,18
Weedle17,Weedle,240,260
Weedle18,Weedle,60,66
Weedle19,Weedle,80,86
Weedle20,Weedle,75,81
Caterpie1,Caterpie,136,150
Caterpie2,Caterpie,231,248
Caterpie3,Caterpie,43,46
Caterpie4,Caterpie,140,151
Caterpie5,Caterpie,208,226
Caterpie6,Caterpie,128,137
Caterpie7,Caterpie,186,200
Caterpie8,Caterpie,149,161
Caterpie9,Caterpie,10,10
Caterpie10,Caterpie,86,92
Eevee1,Eevee,619,1646
Eevee3,Eevee,500,1253
Eevee7,Eevee,606,1591
Eevee8,Eevee,548,1362
Eevee9,Eevee,528,1059
Eevee10,Eevee,517,1340
